name,dtsiTemplate,hse,flash,flash,flash,flash,itcm,itcm,itcm,sram,sram,sram,bkpsram,bkpsram,bkpsram,pin-controller,pin-controller,gpioa,gpioa,gpioa,gpiob,gpiob,gpiob,gpioc,gpioc,gpioc,gpiod,gpiod,gpiod,gpioe,gpioe,gpioe,gpiof,gpiof,gpiof,gpiog,gpiog,gpiog,gpioh,gpioh,gpioh,gpioi,gpioi,gpioi,gpioj,gpioj,gpioj,gpiok,gpiok,gpiok
,,dtsiTemplate,dtsiTemplate,address,size,virtualAddress,dtsiTemplate,address,size,dtsiTemplate,address,size,dtsiTemplate,address,size,dtsiTemplate,compatible,dtsiTemplate,address,size,dtsiTemplate,address,size,dtsiTemplate,address,size,dtsiTemplate,address,size,dtsiTemplate,address,size,dtsiTemplate,address,size,dtsiTemplate,address,size,dtsiTemplate,address,size,dtsiTemplate,address,size,dtsiTemplate,address,size,dtsiTemplate,address,size
STM32F722IC,source/chip/STM32/STM32F7/dtsiTemplates/STM32F7.dtsi.jinja,source/chip/STM32/dtsiTemplates/HSE.dtsi.jinja,scripts/dtsiTemplates/flash.dtsi.jinja,0x8000000,262144,0x200000,scripts/dtsiTemplates/memory.dtsi.jinja,0,16384,scripts/dtsiTemplates/memory.dtsi.jinja,0x20000000,262144,scripts/dtsiTemplates/memory.dtsi.jinja,0x40024000,4096,scripts/dtsiTemplates/pin-controller.dtsi.jinja,"ST,STM32-GPIOv2-pin-controller",source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020c00,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021c00,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40022000,0x400,,,,,,
STM32F722IE,source/chip/STM32/STM32F7/dtsiTemplates/STM32F7.dtsi.jinja,source/chip/STM32/dtsiTemplates/HSE.dtsi.jinja,scripts/dtsiTemplates/flash.dtsi.jinja,0x8000000,524288,0x200000,scripts/dtsiTemplates/memory.dtsi.jinja,0,16384,scripts/dtsiTemplates/memory.dtsi.jinja,0x20000000,262144,scripts/dtsiTemplates/memory.dtsi.jinja,0x40024000,4096,scripts/dtsiTemplates/pin-controller.dtsi.jinja,"ST,STM32-GPIOv2-pin-controller",source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020c00,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021c00,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40022000,0x400,,,,,,
STM32F722RC,source/chip/STM32/STM32F7/dtsiTemplates/STM32F7.dtsi.jinja,source/chip/STM32/dtsiTemplates/HSE.dtsi.jinja,scripts/dtsiTemplates/flash.dtsi.jinja,0x8000000,262144,0x200000,scripts/dtsiTemplates/memory.dtsi.jinja,0,16384,scripts/dtsiTemplates/memory.dtsi.jinja,0x20000000,262144,scripts/dtsiTemplates/memory.dtsi.jinja,0x40024000,4096,scripts/dtsiTemplates/pin-controller.dtsi.jinja,"ST,STM32-GPIOv2-pin-controller",source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020c00,0x400,,,,,,,,,,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021c00,0x400,,,,,,,,,
STM32F722RE,source/chip/STM32/STM32F7/dtsiTemplates/STM32F7.dtsi.jinja,source/chip/STM32/dtsiTemplates/HSE.dtsi.jinja,scripts/dtsiTemplates/flash.dtsi.jinja,0x8000000,524288,0x200000,scripts/dtsiTemplates/memory.dtsi.jinja,0,16384,scripts/dtsiTemplates/memory.dtsi.jinja,0x20000000,262144,scripts/dtsiTemplates/memory.dtsi.jinja,0x40024000,4096,scripts/dtsiTemplates/pin-controller.dtsi.jinja,"ST,STM32-GPIOv2-pin-controller",source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020c00,0x400,,,,,,,,,,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021c00,0x400,,,,,,,,,
STM32F722VC,source/chip/STM32/STM32F7/dtsiTemplates/STM32F7.dtsi.jinja,source/chip/STM32/dtsiTemplates/HSE.dtsi.jinja,scripts/dtsiTemplates/flash.dtsi.jinja,0x8000000,262144,0x200000,scripts/dtsiTemplates/memory.dtsi.jinja,0,16384,scripts/dtsiTemplates/memory.dtsi.jinja,0x20000000,262144,scripts/dtsiTemplates/memory.dtsi.jinja,0x40024000,4096,scripts/dtsiTemplates/pin-controller.dtsi.jinja,"ST,STM32-GPIOv2-pin-controller",source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020c00,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021000,0x400,,,,,,,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021c00,0x400,,,,,,,,,
STM32F722VE,source/chip/STM32/STM32F7/dtsiTemplates/STM32F7.dtsi.jinja,source/chip/STM32/dtsiTemplates/HSE.dtsi.jinja,scripts/dtsiTemplates/flash.dtsi.jinja,0x8000000,524288,0x200000,scripts/dtsiTemplates/memory.dtsi.jinja,0,16384,scripts/dtsiTemplates/memory.dtsi.jinja,0x20000000,262144,scripts/dtsiTemplates/memory.dtsi.jinja,0x40024000,4096,scripts/dtsiTemplates/pin-controller.dtsi.jinja,"ST,STM32-GPIOv2-pin-controller",source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020c00,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021000,0x400,,,,,,,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021c00,0x400,,,,,,,,,
STM32F722ZC,source/chip/STM32/STM32F7/dtsiTemplates/STM32F7.dtsi.jinja,source/chip/STM32/dtsiTemplates/HSE.dtsi.jinja,scripts/dtsiTemplates/flash.dtsi.jinja,0x8000000,262144,0x200000,scripts/dtsiTemplates/memory.dtsi.jinja,0,16384,scripts/dtsiTemplates/memory.dtsi.jinja,0x20000000,262144,scripts/dtsiTemplates/memory.dtsi.jinja,0x40024000,4096,scripts/dtsiTemplates/pin-controller.dtsi.jinja,"ST,STM32-GPIOv2-pin-controller",source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020c00,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021c00,0x400,,,,,,,,,
STM32F722ZE,source/chip/STM32/STM32F7/dtsiTemplates/STM32F7.dtsi.jinja,source/chip/STM32/dtsiTemplates/HSE.dtsi.jinja,scripts/dtsiTemplates/flash.dtsi.jinja,0x8000000,524288,0x200000,scripts/dtsiTemplates/memory.dtsi.jinja,0,16384,scripts/dtsiTemplates/memory.dtsi.jinja,0x20000000,262144,scripts/dtsiTemplates/memory.dtsi.jinja,0x40024000,4096,scripts/dtsiTemplates/pin-controller.dtsi.jinja,"ST,STM32-GPIOv2-pin-controller",source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020c00,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021c00,0x400,,,,,,,,,
STM32F723IC,source/chip/STM32/STM32F7/dtsiTemplates/STM32F7.dtsi.jinja,source/chip/STM32/dtsiTemplates/HSE.dtsi.jinja,scripts/dtsiTemplates/flash.dtsi.jinja,0x8000000,262144,0x200000,scripts/dtsiTemplates/memory.dtsi.jinja,0,16384,scripts/dtsiTemplates/memory.dtsi.jinja,0x20000000,262144,scripts/dtsiTemplates/memory.dtsi.jinja,0x40024000,4096,scripts/dtsiTemplates/pin-controller.dtsi.jinja,"ST,STM32-GPIOv2-pin-controller",source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40020c00,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021000,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021400,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021800,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40021c00,0x400,source/chip/STM32/dtsiTemplates/gpio.dtsi.jinja,0x40022000,0x400,,,,,,
