"['chip', 'compatible']","['CPUs', 0, 'compatible']","['..', 'revision']","['NVIC$', 'compatible']","['..', 'core-vectors']","['..', 'chip-vectors']","['clocks', 'HSE$', 'compatible']","['..', 'frequency']","['clocks', 'LSE$', 'compatible']","['..', 'frequency']","['..', 'bypass']","['memories', 'flash$', 'compatible']","['..', 'address']","['..', 'size']","['memories', 'SRAM$', 'compatible']","['..', 'address']","['..', 'size']","['device-electronic-signature', 'compatible']","['..', 'unique-device-ID', 'fragmented']","['pin-controller', 'compatible']","['..', 'AF-bits']","['..', 'has-high-speed']","['GPIOs', 'compatible']","['GPIOs', 'GPIOA$', 'compatible']","['GPIOs', 'GPIOB$', 'compatible']","['GPIOs', 'GPIOC$', 'compatible']","['GPIOs', 'GPIOD$', 'compatible']","['GPIOs', 'GPIOE$', 'compatible']","['GPIOs', 'GPIOF$', 'compatible']","['UARTs', 'compatible']","['..', 'has-CR-M1-bit']","['UARTs', 'LPUART1$', 'compatible']","['..', 'has-FIFO']","['..', 'interrupt', 'controller']","['..', 'vector']","['UARTs', 'LPUART2$', 'compatible']","['..', 'has-FIFO']","['..', 'interrupt', 'controller']","['..', 'vector']","['UARTs', 'USART1$', 'compatible']","['..', 'has-FIFO']","['..', 'interrupt', 'controller']","['..', 'vector']","['UARTs', 'USART2$', 'compatible']","['..', 'has-FIFO']","['..', 'interrupt', 'controller']","['..', 'vector']","['UARTs', 'USART3$', 'compatible']","['..', 'has-FIFO']","['..', 'interrupt', 'controller']","['..', 'vector']","['UARTs', 'USART4$', 'compatible']","['..', 'has-FIFO']","['..', 'interrupt', 'controller']","['..', 'vector']","['UARTs', 'USART5$', 'compatible']","['..', 'has-FIFO']","['..', 'interrupt', 'controller']","['..', 'vector']","['UARTs', 'USART6$', 'compatible']","['..', 'has-FIFO']","['..', 'interrupt', 'controller']","['..', 'vector']"
"['ST,STM32G030C6', 'ST,STM32G0', 'ST,STM32']","['ARM,Cortex-M0+', 'ARM,ARMv6-M']",'r0p1',"['ARM,NVIC', 'interrupt-controller']","[{'name': 'Reset'}, {'name': 'NMI'}, {'name': 'HardFault'}, None, None, None, None, None, None, None, {'name': 'SVC'}, None, None, {'name': 'PendSV'}, {'name': 'SysTick'}]","[{'name': 'WWDG'}, None, {'name': 'RTC_TAMP'}, {'name': 'FLASH'}, {'name': 'RCC'}, {'name': 'EXTI0_1'}, {'name': 'EXTI2_3'}, {'name': 'EXTI4_15'}, {'name': 'USB'}, {'name': 'DMA1_Channel1'}, {'name': 'DMA1_Channel2_3', 'subvectors': ['DMA1_Channel2', 'DMA1_Channel3']}, {'name': 'DMA1_Ch4_7_DMA2_Ch1_5_DMAMUX1_OVR', 'subvectors': ['DMA1_Channel4', 'DMA1_Channel5', 'DMA1_Channel6', 'DMA1_Channel7', 'DMA2_Channel1', 'DMA2_Channel2', 'DMA2_Channel3', 'DMA2_Channel4', 'DMA2_Channel5', 'DMAMUX1_OVR']}, {'name': 'ADC1'}, {'name': 'TIM1_BRK_UP_TRG_COM'}, {'name': 'TIM1_CC'}, None, {'name': 'TIM3_TIM4'}, {'name': 'TIM6'}, {'name': 'TIM7'}, {'name': 'TIM14'}, {'name': 'TIM15'}, {'name': 'TIM16'}, {'name': 'TIM17'}, {'name': 'I2C1'}, {'name': 'I2C2_3'}, {'name': 'SPI1'}, {'name': 'SPI2_3', 'subvectors': ['SPI2', 'SPI3']}, {'name': 'USART1'}, {'name': 'USART2'}, {'name': 'USART3_4_5_6', 'subvectors': ['USART3', 'USART4', 'USART5', 'USART6']}]","['ST,STM32-HSE', 'fixed-clock']",0,"['ST,STM32-LSE', 'fixed-clock']",0,False,['on-chip-flash'],0x8000000,32768,['on-chip-RAM'],0x20000000,8192,"['ST,STM32-device-electronic-signature']",False,"['ST,STM32-GPIO-v2-pin-controller']",4,True,"['ST,STM32-GPIOs-v2-group']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']",,"['ST,STM32-GPIO-v2']","['ST,STM32-USARTs-v2-group']",True,,,,,,,,,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'USART1',"['ST,STM32-USART-v2']",False,Reference(label = 'NVIC'),'USART2',,,,,,,,,,,,,,,,
"['ST,STM32G030C8', 'ST,STM32G0', 'ST,STM32']","['ARM,Cortex-M0+', 'ARM,ARMv6-M']",'r0p1',"['ARM,NVIC', 'interrupt-controller']","[{'name': 'Reset'}, {'name': 'NMI'}, {'name': 'HardFault'}, None, None, None, None, None, None, None, {'name': 'SVC'}, None, None, {'name': 'PendSV'}, {'name': 'SysTick'}]","[{'name': 'WWDG'}, None, {'name': 'RTC_TAMP'}, {'name': 'FLASH'}, {'name': 'RCC'}, {'name': 'EXTI0_1'}, {'name': 'EXTI2_3'}, {'name': 'EXTI4_15'}, {'name': 'USB'}, {'name': 'DMA1_Channel1'}, {'name': 'DMA1_Channel2_3', 'subvectors': ['DMA1_Channel2', 'DMA1_Channel3']}, {'name': 'DMA1_Ch4_7_DMA2_Ch1_5_DMAMUX1_OVR', 'subvectors': ['DMA1_Channel4', 'DMA1_Channel5', 'DMA1_Channel6', 'DMA1_Channel7', 'DMA2_Channel1', 'DMA2_Channel2', 'DMA2_Channel3', 'DMA2_Channel4', 'DMA2_Channel5', 'DMAMUX1_OVR']}, {'name': 'ADC1'}, {'name': 'TIM1_BRK_UP_TRG_COM'}, {'name': 'TIM1_CC'}, None, {'name': 'TIM3_TIM4'}, {'name': 'TIM6'}, {'name': 'TIM7'}, {'name': 'TIM14'}, {'name': 'TIM15'}, {'name': 'TIM16'}, {'name': 'TIM17'}, {'name': 'I2C1'}, {'name': 'I2C2_3'}, {'name': 'SPI1'}, {'name': 'SPI2_3', 'subvectors': ['SPI2', 'SPI3']}, {'name': 'USART1'}, {'name': 'USART2'}, {'name': 'USART3_4_5_6', 'subvectors': ['USART3', 'USART4', 'USART5', 'USART6']}]","['ST,STM32-HSE', 'fixed-clock']",0,"['ST,STM32-LSE', 'fixed-clock']",0,False,['on-chip-flash'],0x8000000,65536,['on-chip-RAM'],0x20000000,8192,"['ST,STM32-device-electronic-signature']",False,"['ST,STM32-GPIO-v2-pin-controller']",4,True,"['ST,STM32-GPIOs-v2-group']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']",,"['ST,STM32-GPIO-v2']","['ST,STM32-USARTs-v2-group']",True,,,,,,,,,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'USART1',"['ST,STM32-USART-v2']",False,Reference(label = 'NVIC'),'USART2',,,,,,,,,,,,,,,,
"['ST,STM32G030F6', 'ST,STM32G0', 'ST,STM32']","['ARM,Cortex-M0+', 'ARM,ARMv6-M']",'r0p1',"['ARM,NVIC', 'interrupt-controller']","[{'name': 'Reset'}, {'name': 'NMI'}, {'name': 'HardFault'}, None, None, None, None, None, None, None, {'name': 'SVC'}, None, None, {'name': 'PendSV'}, {'name': 'SysTick'}]","[{'name': 'WWDG'}, None, {'name': 'RTC_TAMP'}, {'name': 'FLASH'}, {'name': 'RCC'}, {'name': 'EXTI0_1'}, {'name': 'EXTI2_3'}, {'name': 'EXTI4_15'}, {'name': 'USB'}, {'name': 'DMA1_Channel1'}, {'name': 'DMA1_Channel2_3', 'subvectors': ['DMA1_Channel2', 'DMA1_Channel3']}, {'name': 'DMA1_Ch4_7_DMA2_Ch1_5_DMAMUX1_OVR', 'subvectors': ['DMA1_Channel4', 'DMA1_Channel5', 'DMA1_Channel6', 'DMA1_Channel7', 'DMA2_Channel1', 'DMA2_Channel2', 'DMA2_Channel3', 'DMA2_Channel4', 'DMA2_Channel5', 'DMAMUX1_OVR']}, {'name': 'ADC1'}, {'name': 'TIM1_BRK_UP_TRG_COM'}, {'name': 'TIM1_CC'}, None, {'name': 'TIM3_TIM4'}, {'name': 'TIM6'}, {'name': 'TIM7'}, {'name': 'TIM14'}, {'name': 'TIM15'}, {'name': 'TIM16'}, {'name': 'TIM17'}, {'name': 'I2C1'}, {'name': 'I2C2_3'}, {'name': 'SPI1'}, {'name': 'SPI2_3', 'subvectors': ['SPI2', 'SPI3']}, {'name': 'USART1'}, {'name': 'USART2'}, {'name': 'USART3_4_5_6', 'subvectors': ['USART3', 'USART4', 'USART5', 'USART6']}]",,,"['ST,STM32-LSE', 'fixed-clock']",0,False,['on-chip-flash'],0x8000000,32768,['on-chip-RAM'],0x20000000,8192,"['ST,STM32-device-electronic-signature']",False,"['ST,STM32-GPIO-v2-pin-controller']",4,True,"['ST,STM32-GPIOs-v2-group']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']",,,,"['ST,STM32-USARTs-v2-group']",True,,,,,,,,,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'USART1',"['ST,STM32-USART-v2']",False,Reference(label = 'NVIC'),'USART2',,,,,,,,,,,,,,,,
"['ST,STM32G030J6', 'ST,STM32G0', 'ST,STM32']","['ARM,Cortex-M0+', 'ARM,ARMv6-M']",'r0p1',"['ARM,NVIC', 'interrupt-controller']","[{'name': 'Reset'}, {'name': 'NMI'}, {'name': 'HardFault'}, None, None, None, None, None, None, None, {'name': 'SVC'}, None, None, {'name': 'PendSV'}, {'name': 'SysTick'}]","[{'name': 'WWDG'}, None, {'name': 'RTC_TAMP'}, {'name': 'FLASH'}, {'name': 'RCC'}, {'name': 'EXTI0_1'}, {'name': 'EXTI2_3'}, {'name': 'EXTI4_15'}, {'name': 'USB'}, {'name': 'DMA1_Channel1'}, {'name': 'DMA1_Channel2_3', 'subvectors': ['DMA1_Channel2', 'DMA1_Channel3']}, {'name': 'DMA1_Ch4_7_DMA2_Ch1_5_DMAMUX1_OVR', 'subvectors': ['DMA1_Channel4', 'DMA1_Channel5', 'DMA1_Channel6', 'DMA1_Channel7', 'DMA2_Channel1', 'DMA2_Channel2', 'DMA2_Channel3', 'DMA2_Channel4', 'DMA2_Channel5', 'DMAMUX1_OVR']}, {'name': 'ADC1'}, {'name': 'TIM1_BRK_UP_TRG_COM'}, {'name': 'TIM1_CC'}, None, {'name': 'TIM3_TIM4'}, {'name': 'TIM6'}, {'name': 'TIM7'}, {'name': 'TIM14'}, {'name': 'TIM15'}, {'name': 'TIM16'}, {'name': 'TIM17'}, {'name': 'I2C1'}, {'name': 'I2C2_3'}, {'name': 'SPI1'}, {'name': 'SPI2_3', 'subvectors': ['SPI2', 'SPI3']}, {'name': 'USART1'}, {'name': 'USART2'}, {'name': 'USART3_4_5_6', 'subvectors': ['USART3', 'USART4', 'USART5', 'USART6']}]",,,"['ST,STM32-LSE', 'fixed-clock']",0,True,['on-chip-flash'],0x8000000,32768,['on-chip-RAM'],0x20000000,8192,"['ST,STM32-device-electronic-signature']",False,"['ST,STM32-GPIO-v2-pin-controller']",4,True,"['ST,STM32-GPIOs-v2-group']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']",,,,"['ST,STM32-USARTs-v2-group']",True,,,,,,,,,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'USART1',"['ST,STM32-USART-v2']",False,Reference(label = 'NVIC'),'USART2',,,,,,,,,,,,,,,,
"['ST,STM32G030K6', 'ST,STM32G0', 'ST,STM32']","['ARM,Cortex-M0+', 'ARM,ARMv6-M']",'r0p1',"['ARM,NVIC', 'interrupt-controller']","[{'name': 'Reset'}, {'name': 'NMI'}, {'name': 'HardFault'}, None, None, None, None, None, None, None, {'name': 'SVC'}, None, None, {'name': 'PendSV'}, {'name': 'SysTick'}]","[{'name': 'WWDG'}, None, {'name': 'RTC_TAMP'}, {'name': 'FLASH'}, {'name': 'RCC'}, {'name': 'EXTI0_1'}, {'name': 'EXTI2_3'}, {'name': 'EXTI4_15'}, {'name': 'USB'}, {'name': 'DMA1_Channel1'}, {'name': 'DMA1_Channel2_3', 'subvectors': ['DMA1_Channel2', 'DMA1_Channel3']}, {'name': 'DMA1_Ch4_7_DMA2_Ch1_5_DMAMUX1_OVR', 'subvectors': ['DMA1_Channel4', 'DMA1_Channel5', 'DMA1_Channel6', 'DMA1_Channel7', 'DMA2_Channel1', 'DMA2_Channel2', 'DMA2_Channel3', 'DMA2_Channel4', 'DMA2_Channel5', 'DMAMUX1_OVR']}, {'name': 'ADC1'}, {'name': 'TIM1_BRK_UP_TRG_COM'}, {'name': 'TIM1_CC'}, None, {'name': 'TIM3_TIM4'}, {'name': 'TIM6'}, {'name': 'TIM7'}, {'name': 'TIM14'}, {'name': 'TIM15'}, {'name': 'TIM16'}, {'name': 'TIM17'}, {'name': 'I2C1'}, {'name': 'I2C2_3'}, {'name': 'SPI1'}, {'name': 'SPI2_3', 'subvectors': ['SPI2', 'SPI3']}, {'name': 'USART1'}, {'name': 'USART2'}, {'name': 'USART3_4_5_6', 'subvectors': ['USART3', 'USART4', 'USART5', 'USART6']}]",,,"['ST,STM32-LSE', 'fixed-clock']",0,False,['on-chip-flash'],0x8000000,32768,['on-chip-RAM'],0x20000000,8192,"['ST,STM32-device-electronic-signature']",False,"['ST,STM32-GPIO-v2-pin-controller']",4,True,"['ST,STM32-GPIOs-v2-group']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']",,,,"['ST,STM32-USARTs-v2-group']",True,,,,,,,,,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'USART1',"['ST,STM32-USART-v2']",False,Reference(label = 'NVIC'),'USART2',,,,,,,,,,,,,,,,
"['ST,STM32G030K8', 'ST,STM32G0', 'ST,STM32']","['ARM,Cortex-M0+', 'ARM,ARMv6-M']",'r0p1',"['ARM,NVIC', 'interrupt-controller']","[{'name': 'Reset'}, {'name': 'NMI'}, {'name': 'HardFault'}, None, None, None, None, None, None, None, {'name': 'SVC'}, None, None, {'name': 'PendSV'}, {'name': 'SysTick'}]","[{'name': 'WWDG'}, None, {'name': 'RTC_TAMP'}, {'name': 'FLASH'}, {'name': 'RCC'}, {'name': 'EXTI0_1'}, {'name': 'EXTI2_3'}, {'name': 'EXTI4_15'}, {'name': 'USB'}, {'name': 'DMA1_Channel1'}, {'name': 'DMA1_Channel2_3', 'subvectors': ['DMA1_Channel2', 'DMA1_Channel3']}, {'name': 'DMA1_Ch4_7_DMA2_Ch1_5_DMAMUX1_OVR', 'subvectors': ['DMA1_Channel4', 'DMA1_Channel5', 'DMA1_Channel6', 'DMA1_Channel7', 'DMA2_Channel1', 'DMA2_Channel2', 'DMA2_Channel3', 'DMA2_Channel4', 'DMA2_Channel5', 'DMAMUX1_OVR']}, {'name': 'ADC1'}, {'name': 'TIM1_BRK_UP_TRG_COM'}, {'name': 'TIM1_CC'}, None, {'name': 'TIM3_TIM4'}, {'name': 'TIM6'}, {'name': 'TIM7'}, {'name': 'TIM14'}, {'name': 'TIM15'}, {'name': 'TIM16'}, {'name': 'TIM17'}, {'name': 'I2C1'}, {'name': 'I2C2_3'}, {'name': 'SPI1'}, {'name': 'SPI2_3', 'subvectors': ['SPI2', 'SPI3']}, {'name': 'USART1'}, {'name': 'USART2'}, {'name': 'USART3_4_5_6', 'subvectors': ['USART3', 'USART4', 'USART5', 'USART6']}]",,,"['ST,STM32-LSE', 'fixed-clock']",0,False,['on-chip-flash'],0x8000000,65536,['on-chip-RAM'],0x20000000,8192,"['ST,STM32-device-electronic-signature']",False,"['ST,STM32-GPIO-v2-pin-controller']",4,True,"['ST,STM32-GPIOs-v2-group']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']",,,,"['ST,STM32-USARTs-v2-group']",True,,,,,,,,,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'USART1',"['ST,STM32-USART-v2']",False,Reference(label = 'NVIC'),'USART2',,,,,,,,,,,,,,,,
"['ST,STM32G031C4', 'ST,STM32G0', 'ST,STM32']","['ARM,Cortex-M0+', 'ARM,ARMv6-M']",'r0p1',"['ARM,NVIC', 'interrupt-controller']","[{'name': 'Reset'}, {'name': 'NMI'}, {'name': 'HardFault'}, None, None, None, None, None, None, None, {'name': 'SVC'}, None, None, {'name': 'PendSV'}, {'name': 'SysTick'}]","[{'name': 'WWDG'}, {'name': 'PVD_VDDIO2'}, {'name': 'RTC_TAMP'}, {'name': 'FLASH'}, {'name': 'RCC_CRS'}, {'name': 'EXTI0_1'}, {'name': 'EXTI2_3'}, {'name': 'EXTI4_15'}, {'name': 'USB_UCPD1_2'}, {'name': 'DMA1_Channel1'}, {'name': 'DMA1_Channel2_3', 'subvectors': ['DMA1_Channel2', 'DMA1_Channel3']}, {'name': 'DMA1_Ch4_7_DMA2_Ch1_5_DMAMUX1_OVR', 'subvectors': ['DMA1_Channel4', 'DMA1_Channel5', 'DMA1_Channel6', 'DMA1_Channel7', 'DMA2_Channel1', 'DMA2_Channel2', 'DMA2_Channel3', 'DMA2_Channel4', 'DMA2_Channel5', 'DMAMUX1_OVR']}, {'name': 'ADC1_COMP'}, {'name': 'TIM1_BRK_UP_TRG_COM'}, {'name': 'TIM1_CC'}, {'name': 'TIM2'}, {'name': 'TIM3_TIM4'}, {'name': 'TIM6_DAC_LPTIM1'}, {'name': 'TIM7_LPTIM2'}, {'name': 'TIM14'}, {'name': 'TIM15'}, {'name': 'TIM16_FDCAN_IT0'}, {'name': 'TIM17_FDCAN_IT1'}, {'name': 'I2C1'}, {'name': 'I2C2_3'}, {'name': 'SPI1'}, {'name': 'SPI2_3', 'subvectors': ['SPI2', 'SPI3']}, {'name': 'USART1'}, {'name': 'USART2_LPUART2', 'subvectors': ['USART2', 'LPUART2']}, {'name': 'USART3_4_5_6_LPUART1', 'subvectors': ['USART3', 'USART4', 'USART5', 'USART6', 'LPUART1']}, {'name': 'CEC'}]","['ST,STM32-HSE', 'fixed-clock']",0,"['ST,STM32-LSE', 'fixed-clock']",0,False,['on-chip-flash'],0x8000000,16384,['on-chip-RAM'],0x20000000,8192,"['ST,STM32-device-electronic-signature']",False,"['ST,STM32-GPIO-v2-pin-controller']",4,True,"['ST,STM32-GPIOs-v2-group']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']",,"['ST,STM32-GPIO-v2']","['ST,STM32-USARTs-v2-group']",True,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'LPUART1',,,,,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'USART1',"['ST,STM32-USART-v2']",False,Reference(label = 'NVIC'),'USART2',,,,,,,,,,,,,,,,
"['ST,STM32G031C6', 'ST,STM32G0', 'ST,STM32']","['ARM,Cortex-M0+', 'ARM,ARMv6-M']",'r0p1',"['ARM,NVIC', 'interrupt-controller']","[{'name': 'Reset'}, {'name': 'NMI'}, {'name': 'HardFault'}, None, None, None, None, None, None, None, {'name': 'SVC'}, None, None, {'name': 'PendSV'}, {'name': 'SysTick'}]","[{'name': 'WWDG'}, {'name': 'PVD_VDDIO2'}, {'name': 'RTC_TAMP'}, {'name': 'FLASH'}, {'name': 'RCC_CRS'}, {'name': 'EXTI0_1'}, {'name': 'EXTI2_3'}, {'name': 'EXTI4_15'}, {'name': 'USB_UCPD1_2'}, {'name': 'DMA1_Channel1'}, {'name': 'DMA1_Channel2_3', 'subvectors': ['DMA1_Channel2', 'DMA1_Channel3']}, {'name': 'DMA1_Ch4_7_DMA2_Ch1_5_DMAMUX1_OVR', 'subvectors': ['DMA1_Channel4', 'DMA1_Channel5', 'DMA1_Channel6', 'DMA1_Channel7', 'DMA2_Channel1', 'DMA2_Channel2', 'DMA2_Channel3', 'DMA2_Channel4', 'DMA2_Channel5', 'DMAMUX1_OVR']}, {'name': 'ADC1_COMP'}, {'name': 'TIM1_BRK_UP_TRG_COM'}, {'name': 'TIM1_CC'}, {'name': 'TIM2'}, {'name': 'TIM3_TIM4'}, {'name': 'TIM6_DAC_LPTIM1'}, {'name': 'TIM7_LPTIM2'}, {'name': 'TIM14'}, {'name': 'TIM15'}, {'name': 'TIM16_FDCAN_IT0'}, {'name': 'TIM17_FDCAN_IT1'}, {'name': 'I2C1'}, {'name': 'I2C2_3'}, {'name': 'SPI1'}, {'name': 'SPI2_3', 'subvectors': ['SPI2', 'SPI3']}, {'name': 'USART1'}, {'name': 'USART2_LPUART2', 'subvectors': ['USART2', 'LPUART2']}, {'name': 'USART3_4_5_6_LPUART1', 'subvectors': ['USART3', 'USART4', 'USART5', 'USART6', 'LPUART1']}, {'name': 'CEC'}]","['ST,STM32-HSE', 'fixed-clock']",0,"['ST,STM32-LSE', 'fixed-clock']",0,False,['on-chip-flash'],0x8000000,32768,['on-chip-RAM'],0x20000000,8192,"['ST,STM32-device-electronic-signature']",False,"['ST,STM32-GPIO-v2-pin-controller']",4,True,"['ST,STM32-GPIOs-v2-group']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']",,"['ST,STM32-GPIO-v2']","['ST,STM32-USARTs-v2-group']",True,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'LPUART1',,,,,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'USART1',"['ST,STM32-USART-v2']",False,Reference(label = 'NVIC'),'USART2',,,,,,,,,,,,,,,,
"['ST,STM32G031C8', 'ST,STM32G0', 'ST,STM32']","['ARM,Cortex-M0+', 'ARM,ARMv6-M']",'r0p1',"['ARM,NVIC', 'interrupt-controller']","[{'name': 'Reset'}, {'name': 'NMI'}, {'name': 'HardFault'}, None, None, None, None, None, None, None, {'name': 'SVC'}, None, None, {'name': 'PendSV'}, {'name': 'SysTick'}]","[{'name': 'WWDG'}, {'name': 'PVD_VDDIO2'}, {'name': 'RTC_TAMP'}, {'name': 'FLASH'}, {'name': 'RCC_CRS'}, {'name': 'EXTI0_1'}, {'name': 'EXTI2_3'}, {'name': 'EXTI4_15'}, {'name': 'USB_UCPD1_2'}, {'name': 'DMA1_Channel1'}, {'name': 'DMA1_Channel2_3', 'subvectors': ['DMA1_Channel2', 'DMA1_Channel3']}, {'name': 'DMA1_Ch4_7_DMA2_Ch1_5_DMAMUX1_OVR', 'subvectors': ['DMA1_Channel4', 'DMA1_Channel5', 'DMA1_Channel6', 'DMA1_Channel7', 'DMA2_Channel1', 'DMA2_Channel2', 'DMA2_Channel3', 'DMA2_Channel4', 'DMA2_Channel5', 'DMAMUX1_OVR']}, {'name': 'ADC1_COMP'}, {'name': 'TIM1_BRK_UP_TRG_COM'}, {'name': 'TIM1_CC'}, {'name': 'TIM2'}, {'name': 'TIM3_TIM4'}, {'name': 'TIM6_DAC_LPTIM1'}, {'name': 'TIM7_LPTIM2'}, {'name': 'TIM14'}, {'name': 'TIM15'}, {'name': 'TIM16_FDCAN_IT0'}, {'name': 'TIM17_FDCAN_IT1'}, {'name': 'I2C1'}, {'name': 'I2C2_3'}, {'name': 'SPI1'}, {'name': 'SPI2_3', 'subvectors': ['SPI2', 'SPI3']}, {'name': 'USART1'}, {'name': 'USART2_LPUART2', 'subvectors': ['USART2', 'LPUART2']}, {'name': 'USART3_4_5_6_LPUART1', 'subvectors': ['USART3', 'USART4', 'USART5', 'USART6', 'LPUART1']}, {'name': 'CEC'}]","['ST,STM32-HSE', 'fixed-clock']",0,"['ST,STM32-LSE', 'fixed-clock']",0,False,['on-chip-flash'],0x8000000,65536,['on-chip-RAM'],0x20000000,8192,"['ST,STM32-device-electronic-signature']",False,"['ST,STM32-GPIO-v2-pin-controller']",4,True,"['ST,STM32-GPIOs-v2-group']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']",,"['ST,STM32-GPIO-v2']","['ST,STM32-USARTs-v2-group']",True,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'LPUART1',,,,,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'USART1',"['ST,STM32-USART-v2']",False,Reference(label = 'NVIC'),'USART2',,,,,,,,,,,,,,,,
"['ST,STM32G031F4', 'ST,STM32G0', 'ST,STM32']","['ARM,Cortex-M0+', 'ARM,ARMv6-M']",'r0p1',"['ARM,NVIC', 'interrupt-controller']","[{'name': 'Reset'}, {'name': 'NMI'}, {'name': 'HardFault'}, None, None, None, None, None, None, None, {'name': 'SVC'}, None, None, {'name': 'PendSV'}, {'name': 'SysTick'}]","[{'name': 'WWDG'}, {'name': 'PVD_VDDIO2'}, {'name': 'RTC_TAMP'}, {'name': 'FLASH'}, {'name': 'RCC_CRS'}, {'name': 'EXTI0_1'}, {'name': 'EXTI2_3'}, {'name': 'EXTI4_15'}, {'name': 'USB_UCPD1_2'}, {'name': 'DMA1_Channel1'}, {'name': 'DMA1_Channel2_3', 'subvectors': ['DMA1_Channel2', 'DMA1_Channel3']}, {'name': 'DMA1_Ch4_7_DMA2_Ch1_5_DMAMUX1_OVR', 'subvectors': ['DMA1_Channel4', 'DMA1_Channel5', 'DMA1_Channel6', 'DMA1_Channel7', 'DMA2_Channel1', 'DMA2_Channel2', 'DMA2_Channel3', 'DMA2_Channel4', 'DMA2_Channel5', 'DMAMUX1_OVR']}, {'name': 'ADC1_COMP'}, {'name': 'TIM1_BRK_UP_TRG_COM'}, {'name': 'TIM1_CC'}, {'name': 'TIM2'}, {'name': 'TIM3_TIM4'}, {'name': 'TIM6_DAC_LPTIM1'}, {'name': 'TIM7_LPTIM2'}, {'name': 'TIM14'}, {'name': 'TIM15'}, {'name': 'TIM16_FDCAN_IT0'}, {'name': 'TIM17_FDCAN_IT1'}, {'name': 'I2C1'}, {'name': 'I2C2_3'}, {'name': 'SPI1'}, {'name': 'SPI2_3', 'subvectors': ['SPI2', 'SPI3']}, {'name': 'USART1'}, {'name': 'USART2_LPUART2', 'subvectors': ['USART2', 'LPUART2']}, {'name': 'USART3_4_5_6_LPUART1', 'subvectors': ['USART3', 'USART4', 'USART5', 'USART6', 'LPUART1']}, {'name': 'CEC'}]",,,"['ST,STM32-LSE', 'fixed-clock']",0,False,['on-chip-flash'],0x8000000,16384,['on-chip-RAM'],0x20000000,8192,"['ST,STM32-device-electronic-signature']",False,"['ST,STM32-GPIO-v2-pin-controller']",4,True,"['ST,STM32-GPIOs-v2-group']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']","['ST,STM32-GPIO-v2']",,,"['ST,STM32-GPIO-v2']","['ST,STM32-USARTs-v2-group']",True,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'LPUART1',,,,,"['ST,STM32-USART-v2']",True,Reference(label = 'NVIC'),'USART1',"['ST,STM32-USART-v2']",False,Reference(label = 'NVIC'),'USART2',,,,,,,,,,,,,,,,
